stocks,beta
ASM,1.3709388053650398
DXG,1.8970035700867995
KHP,0.8340107982030925
SHB,1.387134800607502
TCH,1.535581385631345
BAF,0.5417542358801145
VOS,1.4412972365650891
AGR,1.6918591325256398
NVL,0.8073115766628999
OCB,1.066602346034461
VIX,1.6664358589229364
BMI,1.1513213865780356
CII,1.5848079743425625
HSL,0.8911470921457497
IDI,1.2901068712721617
EVF,0.8878967908657431
MIG,1.1762457444242826
POW,1.2569001320670024
MSB,1.1719245576370683
SBT,1.1798226302052879
