"Date","Price","Open","High","Low","Vol.","Change %"
"12/08/2023","17,900","18,000","18,000","17,500","63.60K","-0.28%"
"12/07/2023","17,950","17,950","17,950","17,650","145.30K","1.99%"
"12/06/2023","17,600","17,900","18,300","17,550","67.40K","0.28%"
"12/05/2023","17,550","18,100","18,200","17,500","189.40K","-3.04%"
"12/04/2023","18,100","18,200","18,200","17,800","115.30K","-0.55%"
"12/01/2023","18,200","17,900","18,200","17,900","75.60K","0.00%"
"11/30/2023","18,200","18,050","18,500","17,900","96.90K","-1.09%"
"11/29/2023","18,400","18,300","18,500","18,300","112.80K","0.55%"
"11/28/2023","18,300","17,950","18,350","17,650","787.40K","4.57%"
"11/27/2023","17,500","17,500","17,500","17,050","70.10K","0.57%"
"11/24/2023","17,400","17,550","17,550","17,200","78.60K","-0.57%"
"11/23/2023","17,500","17,600","17,600","17,400","90.90K","0.00%"
"11/22/2023","17,500","17,450","17,600","17,000","125.60K","0.29%"
"11/21/2023","17,450","17,450","17,550","17,350","59.20K","-0.29%"
"11/20/2023","17,500","17,200","17,500","17,000","33.20K","0.00%"
"11/17/2023","17,500","17,500","17,500","17,100","53.00K","0.29%"
"11/16/2023","17,450","17,250","17,450","17,200","28.00K","0.00%"
"11/15/2023","17,450","17,700","17,700","17,400","52.30K","-0.85%"
"11/14/2023","17,600","17,650","17,800","17,250","97.00K","-0.28%"
"11/13/2023","17,650","17,250","17,800","17,250","2.62M","-0.28%"
"11/10/2023","17,700","17,350","17,950","17,150","268.60K","1.72%"
"11/09/2023","17,400","17,000","17,450","17,000","155.10K","1.16%"
"11/08/2023","17,200","16,500","17,200","16,400","220.90K","2.99%"
"11/07/2023","16,700","16,400","16,800","16,400","381.10K","1.83%"
"11/06/2023","16,400","16,500","16,500","16,400","44.60K","-0.30%"
"11/03/2023","16,450","16,500","16,550","16,400","245.70K","-0.30%"
"11/02/2023","16,500","16,450","16,600","16,300","101.90K","0.30%"
"11/01/2023","16,450","15,900","16,450","15,650","34.40K","0.00%"
"10/31/2023","16,450","16,450","16,450","15,500","81.70K","-0.30%"
"10/30/2023","16,500","16,100","16,800","16,000","64.90K","0.00%"
"10/27/2023","16,500","15,900","16,500","15,300","111.70K","3.77%"
"10/26/2023","15,900","15,900","16,100","15,100","279.40K","-1.85%"
"10/25/2023","16,200","16,500","16,600","16,000","88.50K","0.00%"
"10/24/2023","16,200","16,550","16,800","16,200","60.10K","-2.11%"
"10/23/2023","16,550","16,750","16,750","16,050","53.60K","-2.65%"
"10/20/2023","17,000","15,750","17,100","15,700","165.00K","5.59%"
"10/19/2023","16,100","16,500","16,500","15,600","207.00K","-2.42%"
"10/18/2023","16,500","16,500","16,650","15,450","230.90K","-0.30%"
"10/17/2023","16,550","16,700","16,750","16,550","114.10K","-0.90%"
"10/16/2023","16,700","17,100","17,100","16,700","76.10K","-0.60%"
"10/13/2023","16,800","16,950","17,000","16,600","92.70K","-0.88%"
"10/12/2023","16,950","17,100","17,200","16,900","106.30K","-0.29%"
"10/11/2023","17,000","17,150","17,250","17,000","107.10K","-1.16%"
"10/10/2023","17,200","17,500","17,500","17,200","133.10K","-1.43%"
"10/09/2023","17,450","17,200","17,550","17,200","38.10K","1.45%"
"10/06/2023","17,200","17,150","17,600","17,150","66.90K","-0.58%"
"10/05/2023","17,300","17,350","17,700","17,300","71.60K","-0.29%"
"10/04/2023","17,350","16,800","17,500","16,800","51.80K","2.06%"
"10/03/2023","17,000","17,600","17,700","17,000","180.50K","-3.95%"
"10/02/2023","17,700","17,800","17,850","17,450","28.60K","-0.56%"
"09/29/2023","17,800","17,800","17,800","17,650","135.80K","0.00%"
"09/28/2023","17,800","17,400","17,800","17,200","105.20K","0.00%"
"09/27/2023","17,800","17,500","17,800","17,100","122.00K","1.14%"
"09/26/2023","17,600","17,300","17,750","17,200","198.10K","0.57%"
"09/25/2023","17,500","18,300","18,300","17,300","220.90K","-2.78%"
"09/22/2023","18,000","17,850","18,100","17,350","374.20K","-0.55%"
"09/21/2023","18,100","18,550","18,550","18,050","167.30K","-2.43%"
"09/20/2023","18,550","18,350","18,700","18,200","288.30K","0.82%"
"09/19/2023","18,400","18,400","18,500","18,000","154.90K","-0.27%"
"09/18/2023","18,450","18,400","18,500","17,950","347.70K","0.00%"
"09/15/2023","18,450","18,000","18,550","17,900","565.90K","1.65%"
"09/14/2023","18,150","18,050","18,200","17,800","190.90K","-0.27%"
"09/13/2023","18,200","17,800","18,850","17,800","338.50K","1.68%"
"09/12/2023","17,900","17,900","17,900","17,550","195.80K","0.00%"
"09/11/2023","17,900","18,000","18,200","17,800","274.80K","-0.56%"
"09/08/2023","18,000","17,950","18,100","17,900","221.50K","0.28%"
"09/07/2023","17,950","18,100","18,200","17,850","344.00K","-0.28%"
"09/06/2023","18,000","17,950","18,250","17,850","228.00K","0.00%"
"09/05/2023","18,000","18,200","18,250","18,000","325.60K","-1.10%"
"08/31/2023","18,200","17,800","18,200","17,600","358.10K","2.25%"
"08/30/2023","17,800","17,950","17,950","17,650","101.40K","0.00%"
"08/29/2023","17,800","17,800","17,850","17,500","167.50K","0.00%"
"08/28/2023","17,800","17,800","17,900","17,500","169.40K","-0.28%"
"08/25/2023","17,850","17,900","17,900","17,500","52.40K","-0.28%"
"08/24/2023","17,900","17,800","17,900","17,700","133.60K","1.87%"
"08/23/2023","17,571","17,619","17,762","17,190","232.05K","0.00%"
"08/22/2023","17,571","17,524","17,619","16,952","200.76K","0.27%"
"08/21/2023","17,524","16,762","17,619","16,667","358.99K","-2.10%"
"08/18/2023","17,900","19,150","19,150","17,850","439.30K","-6.53%"
"08/17/2023","19,150","19,200","19,450","19,150","259.60K","-0.26%"
"08/16/2023","19,200","19,250","19,400","19,100","180.80K","-0.26%"
"08/15/2023","19,250","19,300","19,500","19,200","104.30K","-0.26%"
"08/14/2023","19,300","19,050","19,500","19,050","167.80K","0.00%"
"08/11/2023","19,300","19,650","19,650","19,050","154.30K","-0.52%"
"08/10/2023","19,400","19,900","19,900","19,400","168.10K","-2.51%"
"08/09/2023","19,900","20,200","20,550","19,900","150.70K","-2.93%"
"08/08/2023","20,500","19,550","20,500","19,500","391.40K","4.86%"
"08/07/2023","19,550","19,600","19,650","19,400","225.20K","0.26%"
"08/04/2023","19,500","19,600","19,750","19,400","160.10K","-0.51%"
"08/03/2023","19,600","19,500","19,700","19,400","186.20K","0.00%"
"08/02/2023","19,600","19,600","19,700","19,500","212.40K","0.26%"
"08/01/2023","19,550","20,000","20,150","19,500","303.10K","-2.25%"
"07/31/2023","20,000","19,200","20,000","19,200","487.40K","1.78%"
"07/28/2023","19,650","19,350","19,650","19,000","368.90K","1.29%"
"07/27/2023","19,400","19,400","19,400","18,900","900.30K","0.00%"
"07/26/2023","19,400","19,050","20,000","19,050","321.00K","0.26%"
"07/25/2023","19,350","19,400","19,400","19,000","574.90K","0.78%"
"07/24/2023","19,200","19,650","19,650","19,200","433.00K","-1.79%"
"07/21/2023","19,550","18,900","19,550","18,900","900.20K","3.99%"
"07/20/2023","18,800","18,700","18,800","18,550","167.90K","0.80%"
"07/19/2023","18,650","18,850","18,900","18,550","384.30K","-0.80%"
"07/18/2023","18,800","18,650","18,950","18,600","309.30K","0.80%"
"07/17/2023","18,650","18,500","18,700","18,450","767.50K","0.00%"
"07/14/2023","18,650","18,700","18,800","18,500","440.10K","-0.53%"
"07/13/2023","18,750","18,800","18,900","18,700","572.10K","-0.27%"
"07/12/2023","18,800","18,650","19,200","18,650","583.80K","0.00%"
"07/11/2023","18,800","18,650","19,150","18,650","706.80K","-0.53%"
"07/10/2023","18,900","18,900","19,200","18,850","446.80K","0.00%"
"07/07/2023","18,900","18,650","18,900","18,550","507.10K","1.07%"
"07/06/2023","18,700","18,450","19,000","18,450","847.40K","1.08%"
"07/05/2023","18,500","18,400","18,500","18,250","373.60K","0.54%"
"07/04/2023","18,400","18,250","18,500","18,150","278.80K","0.82%"
"07/03/2023","18,250","18,700","18,700","18,250","150.30K","-2.41%"
"06/30/2023","18,700","18,600","18,950","18,400","306.10K","-1.32%"
"06/29/2023","18,950","18,750","19,050","18,150","979.30K","-0.26%"
"06/28/2023","19,000","18,450","19,000","18,450","788.60K","2.98%"
"06/27/2023","18,450","18,000","18,500","17,950","855.10K","-0.27%"
"06/26/2023","18,500","18,450","18,600","18,350","606.00K","0.00%"
"06/23/2023","18,500","18,250","18,500","18,250","790.80K","1.37%"
"06/22/2023","18,250","18,100","18,300","18,100","304.20K","0.00%"
"06/21/2023","18,250","18,200","18,250","18,000","311.40K","0.00%"
"06/20/2023","18,250","18,200","18,300","17,900","391.30K","0.00%"
"06/19/2023","18,250","18,100","18,500","17,900","397.00K","-0.54%"
"06/16/2023","18,350","17,950","19,250","17,850","945.80K","1.94%"
"06/15/2023","18,000","17,950","18,050","17,700","215.10K","0.28%"
