"Date","Price","Open","High","Low","Vol.","Change %"
"11/22/2023","16,700","16,050","16,700","15,900","7.83M","4.70%"
"11/21/2023","15,950","16,600","16,800","15,850","8.37M","-1.54%"
"11/20/2023","16,200","14,900","16,200","14,800","13.95M","6.93%"
"11/17/2023","15,150","15,900","15,900","14,800","9.39M","-1.62%"
"11/16/2023","15,400","15,000","15,700","14,800","13.89M","3.36%"
"11/15/2023","14,900","14,900","14,900","14,800","7.09M","6.81%"
"11/14/2023","13,950","13,100","13,950","13,050","6.35M","6.90%"
"11/13/2023","13,050","12,850","13,200","12,700","5.16M","1.56%"
"11/10/2023","12,850","13,000","13,000","12,650","2.28M","-0.77%"
"11/09/2023","12,950","12,950","13,000","12,750","2.83M","0.78%"
"11/08/2023","12,850","12,350","13,000","12,200","2.47M","4.05%"
"11/07/2023","12,350","12,450","12,450","12,150","1.75M","-1.20%"
"11/06/2023","12,500","12,100","12,500","11,900","6.44M","4.17%"
"11/03/2023","12,000","12,200","12,200","11,900","1.28M","2.13%"
"11/02/2023","11,750","11,150","11,750","11,150","19.67M","6.82%"
"11/01/2023","11,000","11,000","11,100","10,350","4.51M","0.00%"
"10/31/2023","11,000","11,150","11,200","11,000","1.03M","-1.35%"
"10/30/2023","11,150","11,150","11,250","11,150","894.50K","0.45%"
"10/27/2023","11,100","11,150","11,200","11,050","961.60K","-0.89%"
"10/26/2023","11,200","11,550","11,550","11,050","2.19M","-1.75%"
"10/25/2023","11,400","11,450","11,600","11,400","470.30K","-1.72%"
"10/24/2023","11,600","11,250","11,700","11,250","603.60K","2.20%"
"10/23/2023","11,350","11,300","11,600","11,300","736.50K","0.89%"
"10/20/2023","11,250","11,300","11,450","11,100","696.80K","-0.44%"
"10/19/2023","11,300","11,800","11,800","11,050","1.03M","-4.64%"
"10/18/2023","11,850","11,950","12,000","11,400","641.20K","-0.42%"
"10/17/2023","11,900","11,400","12,150","11,400","2.33M","4.39%"
"10/16/2023","11,400","11,550","11,600","11,400","337.40K","-1.72%"
"10/13/2023","11,600","11,500","11,600","11,400","407.90K","0.00%"
"10/12/2023","11,600","11,700","11,700","11,500","485.30K","-0.43%"
"10/11/2023","11,650","11,700","11,700","11,500","380.50K","-0.43%"
"10/10/2023","11,700","11,700","11,850","11,550","612.40K","0.00%"
"10/09/2023","11,700","11,500","11,800","11,500","395.20K","0.86%"
"10/06/2023","11,600","11,400","11,700","11,350","345.90K","1.31%"
"10/05/2023","11,450","11,500","11,750","11,450","640.20K","-0.43%"
"10/04/2023","11,500","11,050","11,600","11,050","686.10K","3.14%"
"10/03/2023","11,150","11,700","12,000","11,050","1.16M","-5.51%"
"10/02/2023","11,800","12,000","12,200","11,800","573.40K","-3.28%"
"09/29/2023","12,200","12,000","12,200","11,900","797.00K","0.83%"
"09/28/2023","12,100","12,100","12,100","11,800","443.00K","0.83%"
"09/27/2023","12,000","12,000","12,200","11,750","954.20K","-1.23%"
"09/26/2023","12,150","11,800","12,400","11,800","816.20K","2.10%"
"09/25/2023","11,900","12,750","12,800","11,900","1.68M","-6.67%"
"09/22/2023","12,750","12,700","13,350","12,500","2.10M","2.00%"
"09/21/2023","12,500","12,400","12,500","12,100","1.27M","6.84%"
"09/20/2023","11,700","11,700","11,983","11,511","6.63M","0.00%"
"09/19/2023","11,700","12,030","12,077","11,511","3.61M","-2.74%"
